Req#,Requirement,Explanation,Testable Assertions,Test cases,Tags,Priority,Version & Section/Sub-Section,Comments,Status,Date Integrated,AHA Idea reference
,"An LRS's State API rejects a GET request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.4.table1.row1.a)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row1.a"",

""1.0.2_ref"": ""7.4.table1.row1.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row1""]",,Integrated,,XAPI-I-358
,"An LRS's State API rejects a GET request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row1.b"",

""1.0.2_ref"": ""7.4.table1.row1.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row1""]",,Integrated,,XAPI-I-357
,An LRS's State API accepts GET requests (7.4),,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4"",

""1.0.2_ref"": ""7.4"",

""1.0.3_ref"": ""Communication.md#2.3"",

""1.0.3_link"": [""Communication.md#2.3""]",,Integrated,,XAPI-I-356
,An LRS's State API upon processing a successful POST request returns code 204 No Content (7.4.a),,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4.a"",

""1.0.2_ref"": ""7.4.a"",

""1.0.3_ref"": ""Communication.md#2.3.s3"",

""1.0.3_link"": [""Communication.md#2.3.s3""]",,Integrated,,XAPI-I-355
,"An LRS's State API rejects a POST request with ""stateId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.4.table1.row1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-354
,"An LRS's State API rejects a POST request without ""stateId"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row1.b"",

""1.0.2_ref"": ""7.4.table1.row4.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row4""]",,Integrated,,XAPI-I-353
,"An LRS's State API rejects a POST request with ""registration"" as a parameter if it is not a UUID with error code 400 Bad Request (format, 7.4.table1.row3.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row3.a"",

""1.0.2_ref"": ""7.4.table1.row3.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row3"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row3""]",,Integrated,,XAPI-I-352
,"An LRS's State API can process a POST request with ""registration"" as a parameter (multiplicity, 7.4.table1.row3.b)",,,,Defined by spec,0,,,Integrated,,XAPI-I-351
,"An LRS's State API rejects a POST request with ""agent"" as a parameter if it is not in JSON format with error code 400 Bad Request (format, 7.4.table1.row2.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row2.a"",

""1.0.2_ref"": ""7.4.table1.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-350
,"An LRS's State API rejects a POST request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row2.b)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row2.b"",

""1.0.2_ref"": ""7.4.table1.row2.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-349
,"An LRS's State API rejects a POST request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.4.table1.row1.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row1.a"",

""1.0.2_ref"": ""7.4.table1.row1.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row1""]",,Integrated,,XAPI-I-348
,"An LRS's State API rejects a POST request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row1.b"",

""1.0.2_ref"": ""7.4.table1.row1.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row1""]",,Integrated,,XAPI-I-347
,An LRS's State API accepts POST requests (7.4),,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4"",

""1.0.2_ref"": ""7.4"",

""1.0.3_ref"": ""Communication.md#2.3"",

""1.0.3_link"": [""Communication.md#2.3""]",,Integrated,,XAPI-I-346
,An LRS's State API upon processing a successful PUT request returns code 204 No Content (7.4.a),,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4.a"",

""1.0.2_ref"": ""7.4.a"",

""1.0.3_ref"": ""Communication.md#2.3.s3"",

""1.0.3_link"": [""Communication.md#2.3.s3""]",,Integrated,,XAPI-I-345
,"An LRS's State API rejects a PUT request with ""stateId"" as a parameter if it is not type ""String"" with error code 400 Bad Request(format, 7.4.table1.row1.a)",,,,"Defined by spec,State API,Format",0,,,Integrated,,XAPI-I-344
,"An LRS's State API rejects a PUT request without ""stateId"" as a parameter with error code 400 Bad Request(multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row1.b"",



""1.0.2_ref"": ""7.4.table1.row4.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row4""]",,Integrated,,XAPI-I-343
,"An LRS's State API rejects a PUT request with ""registration"" as a parameter if it is not a UUID with error code 400 Bad Request(format, 7.4.table1.row3.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row3.a"",

""1.0.2_ref"": ""7.4.table1.row3.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row3"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row3""]",,Integrated,,XAPI-I-342
,"An LRS's State API can process a PUT request with ""registration"" as a parameter (multiplicity, 7.4.table1.row3.b)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row3.b"",

""1.0.2_ref"": ""7.4.table1.row3.b"",

""1.0.3_link"": ""multiplicity, Communication.md#2.3.s3.table1.row3"",

""1.0.3_ref"": [""Communication.md#2.3.s3.table1.row3""]",,Integrated,,XAPI-I-341
,"An LRS's State API rejects a PUT request with ""agent"" as a parameter if it is not in JSON format with error code 400 Bad Request (format, 7.4.table1.row2.a)",,,,"Defined by spec,Format,State API",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row2.a"",

""1.0.2_ref"": ""7.4.table1.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-340
,"An LRS's State API rejects a PUT request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row2.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row2.b"",

""1.0.2_ref"": ""7.4.table1.row2.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-339
,"An LRS's State API rejects a PUT request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.4.table1.row1.a) ** In 1.0.3, the IRI requires a scheme, but does not in 1.0.2, thus we only test type String in this version**",,,,Defined by spec,0,,,Integrated,,XAPI-I-338
,"An LRS's State API rejects a PUT request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row1.b"",

""1.0.2_ref"": ""7.4.table1.row1.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row1""]",,Integrated,,XAPI-I-337
,An LRS's State API accepts PUT requests (7.4),,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4"",

""1.0.2_ref"": ""7.4"",

""1.0.3_ref"": ""Communication.md#2.3"",

""1.0.3_link"": [""Communication.md#2.3""]",,Integrated,,XAPI-I-336
,"An LRS's Agent Profile API performs a Document Merge if a document is found and both it and the document in the POST request have type ""application/json"" (7.3.d)",,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.3.d"",

""1.0.2_ref"": ""7.3.d"",

""1.0.3_ref"": ""Communication.md#2.2.s7.b1, Communication.md#2.2.s7.b2, Communication.md#2.2.s7.b3"",

""1.0.3_link"": [""Communication.md#2.2.s7.b1"", ""Communication.md#2.2.s7.b2"", ""Communication.md#2.2.s7.b3""]",,Integrated,,XAPI-I-335
,"An LRS's Agent Profile API, rejects a POST request if the document is found and either document's type is not ""application/json"" with error code 400 Bad Request (7.3.e)",,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.3.e"",

""1.0.2_ref"": ""7.3.e"",

""1.0.3_ref"": ""Communication.md#2.2.s8.b1"",

""1.0.3_link"": [""Communication.md#2.2.s8.b1""]",,Integrated,,XAPI-I-334
,"An LRS's Agent Profile API, upon receiving a POST request for a document not currently in the LRS, treats it as a PUT request and store a new document (7.3.f)",,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.3.f"",

""1.0.2_ref"": ""7.3.f"",

""1.0.3_ref"": ""Communication.md#2.2.s7"",

""1.0.3_link"": [""Communication.md#2.2.s7""]",,Integrated,,XAPI-I-333
,"An LRS's Activity Profile API performs a Document Merge if a document is found and both it and the document in the POST request have type ""application/json"" (7.3.d)",,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.3.d"",

""1.0.2_ref"": ""7.3.d"",

""1.0.3_ref"": ""Communication.md#2.2.s7.b1, Communication.md#2.2.s7.b2, Communication.md#2.2.s7.b3"",

""1.0.3_link"": [""Communication.md#2.2.s7.b1"", ""Communication.md#2.2.s7.b2"", ""Communication.md#2.2.s7.b3""]",,Integrated,,XAPI-I-332
,"An LRS's Activity Profile API, rejects a POST request if the document is found and either document's type is not ""application/json"" with error code 400 Bad Request (7.3.e)",,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.3.e"",

""1.0.2_ref"": ""7.3.e"",

""1.0.3_ref"": ""Communication.md#2.2.s8.b1"",

""1.0.3_link"": [""Communication.md#2.2.s8.b1""]",,Integrated,,XAPI-I-331
,"An LRS's Activity Profile API, upon receiving a POST request for a document not currently in the LRS, treats it as a PUT request and store a new document (7.3.f)",,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.3.f"",

""1.0.2_ref"": ""7.3.f"",

""1.0.3_ref"": ""Communication.md#2.2.s7"",

""1.0.3_link"": [""Communication.md#2.2.s7""]",,Integrated,,XAPI-I-330
,"An LRS's State API performs a Document Merge if a document is found and both it and the document in the POST request have type ""application/json"" (7.3.d)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.3.d"",

""1.0.2_ref"": ""7.3.d"",

""1.0.3_ref"": ""Communication.md#2.2.s7.b1, Communication.md#2.2.s7.b2, Communication.md#2.2.s7.b3"",

""1.0.3_link"": [""Communication.md#2.2.s7.b1"", ""Communication.md#2.2.s7.b2"", ""Communication.md#2.2.s7.b3""]",,Integrated,,XAPI-I-329
,A Document Merge re-serializes all Objects to finalize a single document (7.3.d),,,,Defined by spec,0,,,Integrated,,XAPI-I-328
,"A Document Merge only performs overwrites at one level deep, although the entire object is replaced. (7.3.d)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.3.d"",

""1.0.2_ref"": ""7.3.d"",

""1.0.3_ref"": ""Communication.md#2.2.s7.b1, Communication.md#2.2.s7.b2, Communication.md#2.2.s7.b3"",

""1.0.3_link"": [""Communication.md#2.2.s7.b1"", ""Communication.md#2.2.s7.b2"", ""Communication.md#2.2.s7.b3""]",,Integrated,,XAPI-I-327
,A Document Merge overwrites any duplicate Objects from the previous document with the new document. (7.3.d),,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.3.d"",

""1.0.2_ref"": ""7.3.d"",

""1.0.3_ref"": ""Communication.md#2.2.s7.b1, Communication.md#2.2.s7.b2, Communication.md#2.2.s7.b3"",

""1.0.3_link"": [""Communication.md#2.2.s7.b1"", ""Communication.md#2.2.s7.b2"", ""Communication.md#2.2.s7.b3""]",,Integrated,,XAPI-I-326
,A Document Merge de-serializes all Objects represented by each document before making other changes. (7.3.d),,,,Defined by spec,0,,,Integrated,,XAPI-I-325
,A Document Merge is defined by the merging of an existing document at an endpoint with a document received in a POST request. (7.3),,,,Defined by spec,0,,,Integrated,,XAPI-I-324
,"An LRS's State API, rejects a POST request if the document is found and either document's type is not ""application/json"" with error code 400 Bad Request (7.3.e)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.3.e"",

""1.0.2_ref"": ""7.3.e"",

""1.0.3_ref"": ""Communication.md#2.2.s8.b1"",

""1.0.3_link"": [""Communication.md#2.2.s8.b1""]",,Integrated,,XAPI-I-323
,"An LRS's State API, upon receiving a POST request for a document not currently in the LRS, treats it as a PUT request and store a new document (7.3.f)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.3.f"",

""1.0.2_ref"": ""7.3.f"",

""1.0.3_ref"": ""Communication.md#2.2.s7, Implicit"",

""1.0.3_link"": [""Communication.md#2.2.s7""]",,Integrated,,XAPI-I-322
,An LRS cannot reject a POST request to the Agent Profile API based on the contents of the name/value pairs of the document (7.3.b) Implicit,,,,"Implied by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.3.b"",

""1.0.2_ref"": ""7.3.b, Implicit"",

""1.0.3_ref"": ""Communication.md#2.2.b, Implicit"",

""1.0.3_link"": [""Communication.md#2.2.b""]",,Integrated,,XAPI-I-321
,An LRS cannot reject a POST request to the Activity Profile API based on the contents of the name/value pairs of the document (7.3.b) Implicit,,,,"Implied by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.3.b"",

""1.0.2_ref"": ""7.3.b, Implicit"",

""1.0.3_ref"": ""Communication.md#2.2.b, Implicit"",

""1.0.3_link"": [""Communication.md#2.2.b""]",,Integrated,,XAPI-I-320
,An LRS cannot reject a POST request to the State API based on the contents of the name/value pairs of the document (7.3.b) Implicit,,,,"Implied by spec,State API",0,"""1.0.2_ref_text"": ""7.3.b"",

""1.0.2_ref"": ""7.3.b, Implicit"",

""1.0.3_ref"": ""Communication.md#2.2.b, Implicit"",

""1.0.3_link"": [""Communication.md#2.2.b""]",,Integrated,,XAPI-I-319
,An LRS will accept a POST request to the Agent Profile API (7.3.table1.row3.b),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.3.table1.row3.b"",

""1.0.2_ref"": ""7.3.table1.row3.a"",

""1.0.3_ref"": ""Communication.md#2.2.table2.row3.a"",

""1.0.3_link"": [""Communication.md#2.2.table2.row3.a""]",,Integrated,,XAPI-I-318
,An LRS will accept a POST request to the Activity Profile API (7.3.table1.row2.b),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.3.table1.row2.b"",

""1.0.2_ref"": ""7.3.table1.row2.a"",

""1.0.3_ref"": ""Communication.md#2.2.table2.row2.a"",

""1.0.3_link"": [""Communication.md#2.2.table2.row2.a""]",,Integrated,,XAPI-I-317
,An LRS will accept a POST request to the State API (7.3.table1.row1.b),,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.3.table1.row1.b"",

""1.0.2_ref"": ""7.3.table1.row1.a"",

""1.0.3_ref"": ""Communication.md#2.2.table2.row1.a"",

""1.0.3_link"": [""Communication.md#2.2.table2.row1.a""]",,Integrated,,XAPI-I-316
,"An LRS has an About API with endpoint ""base IRI""+""/about"" (7.7.a)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.7.a"",

""1.0.2_ref"": ""7.7.a"",

""1.0.3_ref"": ""Communication.md#2.8"",

""1.0.3_link"": [""Communication.md#2.8""]",,Integrated,,XAPI-I-315
,"An LRS has an Agent Profile API with endpoint ""base IRI""+""/agents/profile"" (7.3.table1.row3.a, 7.3.table1.row3.c)",,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.3.table1.row3.a, 7.3.table1.row3.c"",

""1.0.2_ref"": ""7.3.table1.row3.b, 7.3.table1.row3.c"",

""1.0.3_ref"": ""Communication.md#2.2.table2.row3.a, Communication.md#2.2.table2.row3.c"",

""1.0.3_link"": [""Communication.md#2.2.table2.row3.a"", ""Communication.md#2.2.table2.row3.c""]",,Integrated,,XAPI-I-314
,"An LRS has an Agents API with endpoint ""base IRI"" + /agents"" (7.6) Implicit",,,,"Implied by spec,Agents API",0,"""1.0.2_ref_text"": ""7.6"",

""1.0.2_ref"": ""7.6, Implicit"",

""1.0.3_ref"": ""Communication.md#2.4"",

""1.0.3_link"": [""Communication.md#2.4""]",,Integrated,,XAPI-I-313
,"An LRS has an Activity Profile API with endpoint ""base IRI""+""/activities/profile"" (7.3.table1.row2.a, 7.3.table1.row2.c)",,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.3.table1.row2.a, 7.3.table1.row2.c"",

""1.0.2_ref"": ""7.3.table1.row2.b, 7.3.table1.row2.c"",

""1.0.3_ref"": ""Communication.md#2.2.table2.row2.a, Communication.md#2.2.table2.row2.c"",

""1.0.3_link"": [""Communication.md#2.2.table2.row2.a"", ""Communication.md#2.2.table2.row2.c""]",,Integrated,,XAPI-I-312
,"An LRS has an Activities API with endpoint ""base IRI"" + /activities"" (7.5) Implicit (in that it is not named this by the spec)",,,,"Implied by spec,Activities API",0,"""1.0.2_ref_text"": ""7.5"",

""1.0.2_ref"": ""7.5, Implicit"",

""1.0.3_ref"": ""Communication.md#2.5"",

""1.0.3_link"": [""Communication.md#2.5""]",,Integrated,,XAPI-I-311
,"An LRS has a State API with endpoint ""base IRI""+""/activities/state"" (7.3.table1.row1.a ,7.3.table1.row1.c)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.3.table1.row1.a ,7.3.table1.row1.c"",

""1.0.2_ref"": ""7.3.table1.row1.b ,7.3.table1.row1.c"",

""1.0.3_ref"": ""Communication.md#2.2.table2.row1.a, Communication.md#2.2.table2.row1.c"",

""1.0.3_link"": [""Communication.md#2.2.table2.row1.a"", ""Communication.md#2.2.table2.row1.c""]",,Integrated,,XAPI-I-310
,"An LRS's Statement API, upon processing a successful GET request wishing to return a Voided Statement still returns Statements which target it (7.2.4.b)",,,,"Defined by spec,Statement API,Voiding",0,"""1.0.2_ref_text"": ""7.2.4.b"",

""1.0.2_ref"": ""7.2.4.b"",

""1.0.3_ref"": ""part3.2.1.4.b"",

""1.0.3_link"": [""Communication.md#2.1.4.s1.b2""]",,Integrated,,XAPI-I-309
,"An LRS's Statement API, upon processing a successful GET request, can only return a Voided Statement if that Statement is specified in the voidedStatementId parameter of that request (7.2.4.a)",,,,"Defined by spec,Voiding,Statement API",0,"""1.0.2_ref_text"": ""7.2.4.a"",

""1.0.2_ref"": ""7.2.4.a"",

""1.0.3_ref"": ""part3.2.1.4.a"",

""1.0.3_link"": [""Communication.md#2.1.4.s1.b1""]",,Integrated,,XAPI-I-308
,A Voided Statement is defined as a Statement that is not a Voiding Statement and is the Target of a Voiding Statement within the LRS (4.2.c),,,,"Defined by spec,Voiding",0,"""1.0.2_ref_text"": ""4.2.c"",

""1.0.2_ref"": ""4.2.c"",

""1.0.3_ref"": ""part2.2.3.d"",

""1.0.3_link"": [""Data.md#2.3.2.s2.b3""]",,Integrated,,XAPI-I-307
,"A ""more"" property's referenced container object follows the same rules as the original GET request, originating with a single ""statements"" property and a single ""more"" property (4.2.table1.row1.b)",,,,Defined by spec,0,,,Integrated,,XAPI-I-306
,"A ""more"" property IRL is accessible for at least 24 hours after being returned (4.2.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-305
,"If not empty, the ""more"" property's IRL refers to a specific container object corresponding to the next page of results from the original GET request (4.2.table1.row1.b)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.2.table1.row1.b"", ""1.0.2_ref"": ""4.2.table1.row1.b"", ""1.0.3_ref"": ""part2.2.5.table1.row1.b"", ""1.0.3_link"": [""Data.md#2.5.s2.table1.row2""]",,Integrated,,XAPI-I-304
,"The ""more"" property an empty string if the entire results of the original GET request have been returned (4.2.table1.row2.b) (Do we need to be specific about the ""type"" of empty string?)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.2.table1.row2.b"",

""1.0.2_ref"": ""4.2.table1.row2.b"",

""1.0.3_ref"": ""part2.2.5.table1.row2.b"",

""1.0.3_link"": [""Data.md#2.5.s2.table1.row2""]",,Integrated,,XAPI-I-303
,"A ""more"" property is an IRL (Format, 4.2.table1.row2.a)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""Format, 4.2.table1.row2.a"",

""1.0.2_ref"": ""4.2.table1.row2.a"",

""1.0.3_ref"": ""part2.2.5.table1.row2.a"",

""1.0.3_link"": [""Data.md#2.5.s2.table1.row2""]",,Integrated,,XAPI-I-302
,"An LRS's Statement API, upon processing a successful GET request, will return a single ""more"" property (Multiplicity, Format, 4.2.table1.row2.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-301
,"A ""statements"" property which is too large for a single page will create a container for each additional page (4.2.table1.row1.b)",,,,Defined by spec,0,,,Integrated,,XAPI-I-300
,"The LRS will NOT reject a GET request which returns an empty ""statements"" property (Implicit, 4.2.table1.row1.b)",,,,Implied by spec,0,"""1.0.2_ref_text"": ""**Implicit**, 4.2.table1.row1.b"",

""1.0.2_ref"": ""**Implicit**, 4.2.table1.row1.b"",

""1.0.3_ref"": ""Implicit"",

""1.0.3_link"": [""Communication.md#2.1.3.s2.b4""]",,Integrated,,XAPI-I-299
,"The Statements within the ""statements"" property will correspond to the filtering criterion sent in with the GET request Implicit (7.2.4.b)",,,,Implied by spec,0,,,Integrated,,XAPI-I-298
,"A ""statements"" property is an Array of Statements (Type, 4.2.table1.row1.a)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""Type, 4.2.table1.row1.a"",

""1.0.2_ref"": ""4.2.table1.row1.a"",

""1.0.3_ref"": ""part2.2.5.table1.row1.a"",

""1.0.3_link"": [""Data.md#2.5.s2.table1.row1""]",,Integrated,,XAPI-I-297
,"An LRS's Statement API, upon processing a successful GET request, will return a single ""statements"" property (Multiplicity, Format, 4.2.table1.row1.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-296
,"An LRS's ""X-Experience-API-Consistent-Through"" header's value is not before (temporal) any of the ""stored"" values of any of the returned Statements (7.2.3.c).",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.2.3.c"",

""1.0.2_ref"": ""7.2.3.c"",

""1.0.3_ref"": ""part3..2.1.3.e"",

""1.0.3_link"": [""Communication.md#2.1.3.s2.b5""]",,Integrated,,XAPI-I-295
,"An LRS's ""X-Experience-API-Consistent-Through"" header is an ISO 8601 combined date and time (Type, 7.2.3.c).",,,,Defined by spec,0,"""1.0.2_ref_text"": ""Type, 7.2.3.c"",

""1.0.2_ref"": ""7.2.3.c"",

""1.0.3_ref"": ""part3..2.1.3.e"",

""1.0.3_link"": [""Communication.md#2.1.3.s2.b5""]",,Integrated,,XAPI-I-294
,"An LRS's Statement API, upon receiving a GET request, has a field in the header with name ""Content-Type""Assumed?**",,,,Defined by spec,0,,,Integrated,,XAPI-I-293
,"An LRS's Statement API upon processing a GET request, returns a header with name ""X-Experience-API-Consistent-Through"" regardless of the code returned. (7.2.3.c)",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3.c"",

""1.0.2_ref"": ""7.2.3.c"",

""1.0.3_ref"": ""part3..2.1.3.e"",

""1.0.3_link"": [""Communication.md#2.1.3.s2.b5""]",,Integrated,,XAPI-I-292
,"An LRS's Statement API upon processing a successful GET request with neither a ""statementId"" nor a ""voidedStatementId"" parameter, returns code 200 OK and a StatementResult Object. (7.2.3)",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3"",

""1.0.2_ref"": ""7.2.3"",

""1.0.3_ref"": ""part3.2.1.3"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-291
,"An LRS's Statement API upon processing a successful GET request with a ""voidedStatementId"" parameter, returns code 200 OK and a single Statement with the corresponding ""id"". (7.2.3)",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3"",

""1.0.2_ref"": ""7.2.3"",

""1.0.3_ref"": ""part3.2.1.3"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-290
,"An LRS's Statement API upon processing a successful GET request with a ""statementId"" parameter, returns code 200 OK and a single Statement with the corresponding ""id"". (7.2.3)",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3"",

""1.0.2_ref"": ""7.2.3"",

""1.0.3_ref"": ""part3.2.1.3"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-289
,"An LRS's Statement API rejects a GET request with both ""voidedStatementId"" and anything other than ""attachments"" or ""format"" as parameters (7.2.3.a, 7.2.3.b) with error code 400 Bad Request.",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3.a, 7.2.3.b"",

""1.0.2_ref"": ""7.2.3.a, 7.2.3.b"",

""1.0.3_ref"": ""part3.2.1.3.a, part3.2.1.3.b"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-288
,"An LRS's Statement API rejects a GET request with both ""statementId"" and anything other than ""attachments"" or ""format"" as parameters (7.2.3.a, 7.2.3.b) with error code 400 Bad Request.",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3.a, 7.2.3.b"",

""1.0.2_ref"": ""7.2.3.a, 7.2.3.b"",

""1.0.3_ref"": ""part3.2.1.3.a, part3.2.1.3.b"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-287
,"An LRS's Statement API can process a GET request with ""ascending"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-286
,"An LRS's Statement API can process a GET request with ""attachments"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-285
,"An LRS's Statement API can process a GET request with ""format"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-284
,"An LRS's Statement API can process a GET request with ""limit"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-283
,"An LRS's Statement API can process a GET request with ""until"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-282
,"An LRS's Statement API can process a GET request with ""since"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-281
,"An LRS's Statement API can process a GET request with ""related_agents"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-280
,"An LRS's Statement API can process a GET request with ""related_activities"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-279
